id,avtor
0,Tatsuya Endo
1,Syundei
2,Adachitoka
3,Wataru Watari
4,Hiromu Arakawa
5,Haruko Ichikawa
6,GEGE AKUTAMI
7,Cassandra Clare
8,Ryosuke Takeuchi
9,Michael Dante DiMartino
10,Nakaba Suzuki
11,Yusuke Murata
12,KOHEI HORIKOSHI
13,Ai Yazawa
14,Atsuko Yusen
15,Bisco Hatori
16,Makoto Yukimura
17,Kazu Kibuishi
18,Hayao Miyazaki
19,Nanashi
20,Koyoharu Gotouge
21,Riichiro Inagaki
22,Yuto Suzuki
23,Yuji Kaku
24,Gene Luen Yang
25,Yuki Tabata
26,Kaiu Shirai
27,Nintendo
28,Shinichi Fukuda
29,Rifujin Na Magonote
30,Mo Xiang Tong Xiu
31,Aneko Yusagi
32,Atsushi Ohkubo
33,Mizuho Kusanagi
34,Shin Towada
35,Sam Maggs
36,Nagata Kabi
37,Ogeretsu Tanaka
38,Joseph Gordon-Levitt
39,Inio Asano
40,Tite Kubo
41,Kazue Kato
42,KAZUE KATO
43,Chugong
44,Ichigo Takano
45,Daisuke Hagiwara
46,Hiroshi Sakurazaka
47,Akira Higashiyama
48,Scarlet Beriko
49,Syou Harusono
50,Alan Moore
51,Natsuki Kizu
52,Hitoshi Iwaaki
53,Julietta Suzuki
54,Kafka Asagiri
55,Kamome Shirahama
56,Tappei Nagatsuki
57,Yoshihiro Togashi
58,Yuu Kamiya
59,Akira Himekawa
60,Hajime Isayama
61,Makoto Shinkai
62,Kentaro Miura
63,Nagabe
64,AKIRA TORIYAMA
65,Mark Crilley
66,Bryan Lee O'Malley
67,Ryo Suzuri
68,Sui Ishida
69,Naoki Urasawa
70,Reibun Ike
71,Natsuki Takaya
72,ONE
73,Okayado
74,Hideyuki Furuhashi
75,Kaoru Mori
76,HERO
77,Takashi Yano
78,Code:000
79,Tsutomu Nihei
80,Hajime Komoto
81,AIDAIRO
82,Kimitake Yoshioka
83,Yoru Sumino
84,Tomoki Izumi
85,Tsugumi Ohba
86,Izumi Tsubaki
87,Naoya Matsumoto
88,Jinsei Kataoka
89,Kazuo Koike
90,Sho Hinata
91,Ken Wakui
92,TATSUYA ENDO
93,KOYOHARU GOTOUGE
94,AidaIro
95,Kotoyama
96,Yana Toboso
97,Priest
98,One
99,Isuna Hasekura
100,Akihito Tsukushi
101,Takehiko Inoue
102,Muneyuki Kaneshiro
103,Coolkyousinnjya
104,Yoshiyuki Sadamoto
105,Naoshi Komi
106,Aka Akasaka
107,Meguru Hinohara
108,Eiichiro Oda
109,C.S. Pacat
110,John Layman
111,Masashi Kishimoto
112,Gene Yang
113,Mita Ori
114,Kugane Maruyama
115,Fargo
116,Ryoji Hirano
117,Shou Harusono
118,Jun Eishima
119,Saburouta
120,Ranmaru Zariya
121,Hiro Mashima
122,Yuki Fumino
123,Matsuri Hino
124,Rihito Takarai
125,Kenkou Cross
126,Q Hayashida
127,Sanji
128,Yusei Matsui
129,Kiyohiko Azuma
130,Kaori Ozaki
131,Satoru Noda
132,Takaya Kagami
133,Naoko Takeuchi
134,Fujita
135,Syougo Kinugasa
136,Kohei Horikoshi
137,Jomny Sun
138,KAITO
139,Tatsuki Fujimoto
140,Jun Mochizuki
141,Isuna Haskura
142,Yoshitoki Oima
143,Tomohito Oda
144,Yukinobu Tatsu
145,TOMOHITO ODA
146,NAOKI URASAWA
147,Atsuko Asano
148,May Chan
149,Shuzo Oshimi
150,James Patterson
151,Hirohiko Araki
152,Bboungbbangkkyu
153,Paru Itagaki
154,Aidalro
155,Shungiku Nakamura
156,Akira Toriyama
157,Junji Ito
158,Gamon Sakurai
159,Wataru Hinekure
160,Kousuke Oono
161,TATSUKI FUJIMOTO
162,Katsuhiro Otomo
163,Negi Haruba
164,suu Morishita
165,Kazuki Irodori
166,Buronson
167,NISIOISIN
168,Rou Bao Bu Chi Rou
169,Haruichi Furudate
170,Yuhki Kamatani
171,Venio Tachibana
172,Ukyo Kodachi
173,Hidenori Kusaka
174,Gege Akutami
175,Takashi Nagasaki
176,Akimi Yoshida
177,Reki Kawahara
178,Tsubasa Yamaguchi
179,Marie Kondo
180,Kanehito Yamada
181,Yuto Tsukuda
182,NATSUKI KIZU
183,Satoshi Kon
184,Billy Balibally
185,Yoshikazu Yasuhiko
186,Kohta Hirano
187,Io Sakisaka
188,JUNJI ITO
