id,stevilo_strani,jezik,izdajatelj,drzava,opis
78006212163,128,English,HarperCollins Publishers Inc,"New York, United States","                            The universe isn't made of atoms; it's made of tiny stories. Praised by fans and critics alike, &#034;The Tiny Book of Tiny Stories&#034; has been one of the most beloved projects to come out of actor Joseph Gordon-Levitt's online creative coalition hit Record. With Volume 2, the journey continues with a fresh selection of stories small in scope but outsize in impact. To create &#034;The Tiny Book of Tiny Stories&#034; - half short story collection, half communal poem (Flavorwire) - Joseph Gordon-Levitt, known within the hitRECord.org community as Regular JOE, directs thousands of collaborators to tell tiny stories through words and art. With the help of the entire creative collective, Joe culls, edits, and curates the massive numbers of contributions into a finely tuned collection that is at once ingeniously illustrated ...witty [and] meaningful (&#034;Entertainment Weekly&#034;). &#034;The Tiny Book of Tiny Stories, Volume 2&#034; once again brings together art and voices from around the world to unite and tell stories that defy size."
78006212166,88,English,HarperCollins Publishers Inc,"New York, United States","                            Founded and directed by Golden Globe-nominated actor Joseph Gordon-Levitt, hitRECord is an open collaborative production company where members can contribute their work in various forms including music, videos, text and drawings. Members are then encouraged to add, edit, remix and collaborate with each other. HitRECord currently has over 45,000 active members worldwide. Over 1,000 creative contributions are added daily and over 100 new artists join hitRECord each day. Joe regularly hosts hitRECord events throughout the country at venues ranging from the Sundance and SxSW film festivals to college campuses to grand cinemas to rock&amp;roll bars to concert halls, with audiences ranging from 100 to 1,500 people. In December 2010, hitRECord self-published the first volume in the &#034;Tiny Stories&#034; series. The collaboration received over 2,300 contributions, from which Joe and the creative collective edited together 32 illustrated stories. This volume in the &#034;Tiny Stories&#034; series will contain all new material created through the same collaborative process on hitRECord.org as directed by RegularJOE."
78006256902,304,English,HarperCollins Publishers Inc,"New York, United States","                            The illustrated story of a lonely alien sent to observe Earth, where he meets all sorts of creatures with all sorts of perspectives on life, love, and happiness, while learning to feel a little better about himself, based on the enormously popular twitter account. He also gradually improves his spelling. <br />"
78009953836,248,English,Cornerstone,"London, United Kingdom","                            Fourteen-year-old Maximum Ride, better known as Max, knows what it's like to soar above the world. She and all the members of the 'Flock' - Fang, Iggy, Nudge, Gasman and Angel - are just like ordinary kids - only they have wings and can fly. It may seem like a dream come true to some, but their lives can morph into a living nightmare at any time - like when Angel, the youngest member of the 'Flock', is kidnapped and taken back to the 'School' where she and the others were genetically engineered by sinister scientists. Her friends brave a journey to blazing hot Death Valley, California, to save Angel, but soon enough, they find themselves in yet another nightmare - this one involving fighting off the half-human, half-wolf 'Erasers' in New York City. Whether in the treetops of Central Park or in the bowels of the Manhattan subway system, Max and her adopted family take the ride of their lives. Along the way Max discovers from her old friend and father-figure Jeb - now her betrayed and greatest enemy - that her purpose is save the world - but can she?"
78031607324,208,English,"Little, Brown &amp; Company","New York, United States","                            Yotsuba's getting a biiiiike, Yotsuba's getting a biiiiiike!! Didja know the wheels of a bike go round and round and round and round and round and round and round and round and round and round and round and round and roun - oh, Yotsuba's getting dizzy...whoooooa..."
78031607325,208,English,"Little, Brown &amp; Company","New York, United States","                            Mooooo...! MOOOO...! Cows are neato! It's fun pretending to be a cow! And milk comes from cows, so I bet they're real nice too. 'Cos milk is super-yummy, right?! Yotsuba thinks so! And milk comes in lotsa flavors, so cows must come in different flavors too. How else is there white milk and coffee milk and chocolate milk?! Then there's the black and white cows, they've gotta make a super-secret special flavor, huh?! Yotsuba wants to know! Let's go ask the cows at the ranch, Daddy! Come on!"
78031607327,224,English,"Little, Brown &amp; Company","New York, United States","                            The ranch wasn't fun, huh? But maybe festivals will be less funner?! (Yotsuba's playing opposites, ha-ha!) Yotsuba got uninvited to Fuuka's school for a culr...a clart...a cultural festival! And she didn't promise Yotsuba there wouldn't be CAKE! Yotsuba doesn't want a cake as biiiiiig as Jumbo, nope!! You wouldn't either, now would you?! Ohhh! And then, and then! There ISN'T gonna be a great big festival for the whole town to go to! And Yotsuba isn't gonna work hard and help out there with Ena and Fuuka, nuh-uh! Not even for candy, nooooo way!"
78031607339,192,English,"Little, Brown &amp; Company","New York, United States","                            Kraft Lawrence has been walking the lonely path of the itinerant merchant for seven years. His life changes forever when he meets Holo, the Wolf-God of the harvest, and the two begin traveling together. Soon they discover a unique business opportunity, but their plans go awry when a competing organization captures Holo and threatens to turn her over to the oppressive, monotheistic Church.Can Lawrence rescue his companion, and will the pair become more than just friends?"
78031607387,208,English,"Little, Brown &amp; Company","New York, United States","                            Hello! This is Koiwai Yotsuba, Yotsuba Koiwai...um, YOTSUBA! Yotsuba moved with Daddy to a new house from our old house waaaaaaay over there! And moving's fun 'cos people wave! (Ohhhh!!) And Yotsuba met these nice people next door and made friends to play with (one of 'em acted like one of those bad strangers Daddy told Yotsuba not to go with, but it was okay in the end). I hope we get to play a lot. And eat ice cream! And-and-and...oh yeah! You should come play with Yotsuba too!"
78031607389,192,English,"Little, Brown &amp; Company","New York, United States","                            Ohhhhh! Yotsuba's back! Today, Yotsuba was drawing Jumbo, okay? That's Daddy's REALLY, REALLY BIG friend. He's real nice and I guess a big baby. But he's too big to draw in Yotsuba's sketchbook! So Yotsuba drew Jumbo on the street in front of our house! Cool, huh? But Ena's friend Miura, who has wheels on her feet, said Yotsuba was bad at drawing...she's wrong, right? RIGHT!?"
