id,naslov,avtor,url,leto,format,sedanja_cena,prejsnja_cena
9780062121639,The Tiny Book of Tiny Stories: Volume 2,Joseph Gordon-Levitt,/Tiny-Book-Tiny-Stories-2-Joseph-Gordon-Levitt/9780062121639?ref=grid-view,2012,Hardback,13.55,
9780062121660,The Tiny Book of Tiny Stories: Volume 1,Joseph Gordon-Levitt,/Tiny-Book-Tiny-Stories-1-Joseph-Gordon-Levitt/9780062121660?ref=grid-view,2011,Hardback,12.79,13.0
9780062569028,Everyone's a Aliebn When Ur a Aliebn Too,Jomny Sun,/Everyones-Aliebn-When-Ur-Aliebn-Too-Jomny-Sun/9780062569028?ref=grid-view,2017,Hardback,14.33,17.5
9780099538363,Maximum Ride: Manga Volume 1,James Patterson,/Maximum-Ride-Manga-1-James-Patterson/9780099538363?ref=grid-view,2009,Paperback,13.35,
9780316073240,"Yotsuba&!, Vol. 6",Kiyohiko Azuma,/Yotsuba-Vol-6-Kiyohiko-Azuma/9780316073240?ref=grid-view,2009,Paperback,18.14,
9780316073257,"Yotsuba&!, Vol. 7",Kiyohiko Azuma,/Yotsuba-Vol-7-Kiyohiko-Azuma/9780316073257?ref=grid-view,2009,Paperback,14.32,
9780316073271,"Yotsuba&!, Vol. 8",Kiyohiko Azuma,/Yotsuba-Vol-8-Kiyohiko-Azuma/9780316073271?ref=grid-view,2010,Paperback,14.56,
9780316073394,"Spice and Wolf, Vol. 1 (manga)",Kiyohiko Azuma,/Spice-Wolf-Vol-1-manga-Kiyohiko-Azuma/9780316073394?ref=grid-view,2010,Paperback,14.48,
9780316073875,"Yotsuba&!, Vol. 1",Kiyohiko Azuma,/Yotsuba-Vol-1-Kiyohiko-Azuma/9780316073875?ref=grid-view,2009,Paperback,14.23,15.0
9780316073899,"Yotsuba&!, Vol. 2",Kiyohiko Azuma,/Yotsuba-Vol-2-Kiyohiko-Azuma/9780316073899?ref=grid-view,2009,Paperback,14.59,
9780316073905,"Yotsuba&!, Vol. 3",Kiyohiko Azuma,/Yotsuba-Vol-3-Kiyohiko-Azuma/9780316073905?ref=grid-view,2009,Paperback,11.98,13.0
9780316073929,"Yotsuba&!, Vol. 5",Kiyohiko Azuma,/Yotsuba-Vol-5-Kiyohiko-Azuma/9780316073929?ref=grid-view,2009,Paperback,13.42,
9780316076074,"PandoraHearts, Vol. 1",Jun Mochizuki,/PandoraHearts-Vol-1-Jun-Mochizuki/9780316076074?ref=grid-view,2009,Paperback,13.94,15.0
9780316077385,Azumanga Daioh,Kiyohiko Azuma,/Azumanga-Daioh-Kiyohiko-Azuma/9780316077385?ref=grid-view,2009,Paperback,27.51,
9780316080842,"Black Butler, Vol. 1",Yana Toboso,/Black-Butler-Vol-1-Yana-Toboso/9780316080842?ref=grid-view,2010,Paperback,12.02,14.0
9780316084253,"Black Butler, Vol. 2",Yana Toboso,/Black-Butler-Vol-2-Yana-Toboso/9780316084253?ref=grid-view,2010,Paperback,14.07,
9780316084260,"Black Butler, Vol. 3",Yana Toboso,/Black-Butler-Vol-3-Yana-Toboso/9780316084260?ref=grid-view,2010,Paperback,11.35,14.0
9780316084284,"Black Butler, Vol. 4",Yana Toboso,/Black-Butler-Vol-4-Yana-Toboso/9780316084284?ref=grid-view,2014,Paperback,12.04,12.9
9780316084307,"Black Butler, Vol. 6",Yana Toboso,/Black-Butler-Vol-6-Yana-Toboso/9780316084307?ref=grid-view,2011,Paperback,18.56,
9780316126793,"Yotsuba&!, Vol. 9",Kiyohiko Azuma,/Yotsuba-Vol-9-Kiyohiko-Azuma/9780316126793?ref=grid-view,2010,Paperback,14.88,
9780316180993,"A Bride's Story, Vol. 1",Kaoru Mori,/Brides-Story-Vol-1-Kaoru-Mori/9780316180993?ref=grid-view,2011,Hardback,17.02,19.36
9780316189637,"Black Butler, Vol. 7",Yana Toboso,/Black-Butler-Vol-7-Yana-Toboso/9780316189637?ref=grid-view,2011,Paperback,13.62,
9780316189651,"Black Butler, Vol. 8",Yana Toboso,/Black-Butler-Vol-8-Yana-Toboso/9780316189651?ref=grid-view,2012,Paperback,13.18,15.0
9780316189675,"Black Butler, Vol. 9",Yana Toboso,/Black-Butler-Vol-9-Yana-Toboso/9780316189675?ref=grid-view,2012,Paperback,14.43,
9780316189880,"Black Butler, Vol. 10",Yana Toboso,/Black-Butler-Vol-10-Yana-Toboso/9780316189880?ref=grid-view,2012,Paperback,13.9,
9780316190336,"Yotsuba&!, Vol. 10",Kiyohiko Azuma,/Yotsuba-Vol-10-Kiyohiko-Azuma/9780316190336?ref=grid-view,2016,Paperback,14.41,
9780316225335,"Black Butler, Vol. 11",Yana Toboso,/Black-Butler-Vol-11-Yana-Toboso/9780316225335?ref=grid-view,2012,Paperback,14.08,
9780316244305,"Black Butler, Vol. 14",Yana Toboso,/Black-Butler-Vol-14-Yana-Toboso/9780316244305?ref=grid-view,2013,Paperback,14.43,
9780316245463,"Spice and Wolf, Vol. 8 (light novel)",Isuna Haskura,/Spice-Wolf-Vol-8-light-novel-Isuna-Haskura/9780316245463?ref=grid-view,2013,Paperback,14.27,
9780316245487,"Spice and Wolf, Vol. 9 (light novel)",Isuna Hasekura,/Spice-Wolf-Vol-9-light-novel-Isuna-Hasekura/9780316245487?ref=grid-view,2013,Paperback,14.64,
9780316268691,"Horimiya, Vol. 2",HERO,/Horimiya-Vol-2-HERO/9780316268691?ref=grid-view,2016,Paperback,12.73,14.0
9780316270106,"Horimiya, Vol. 3",Daisuke Hagiwara,/Horimiya-Vol-3-Daisuke-Hagiwara/9780316270106?ref=grid-view,2016,Paperback,13.7,
9780316270113,"Horimiya, Vol. 4",Daisuke Hagiwara,/Horimiya-Vol-4-Daisuke-Hagiwara/9780316270113?ref=grid-view,2016,Paperback,14.35,
9780316270120,"Horimiya, Vol. 5",Daisuke Hagiwara,/Horimiya-Vol-5-Daisuke-Hagiwara/9780316270120?ref=grid-view,2016,Paperback,14.56,
9780316270137,"Horimiya, Vol. 6",Daisuke Hagiwara,/Horimiya-Vol-6-Daisuke-Hagiwara/9780316270137?ref=grid-view,2017,Paperback,14.32,
9780316272247,"Overlord, Vol. 1 (light novel)",Kugane Maruyama,/Overlord-Vol-1-light-novel-Kugane-Maruyama/9780316272247?ref=grid-view,2016,Hardback,17.12,20.0
9780316309479,"Monthly Girls' Nozaki-kun, Vol. 1",Izumi Tsubaki,/Monthly-Girls-Nozaki-kun-Vol-1-Izumi-Tsubaki/9780316309479?ref=grid-view,2015,Paperback,11.73,12.5
9780316322324,"Yotsuba&!, Vol. 12",Kiyohiko Azuma,/Yotsuba-Vol-12-Kiyohiko-Azuma/9780316322324?ref=grid-view,2013,Paperback,14.57,
9780316322362,"Spice and Wolf, Vol. 10 (light novel)",Isuna Hasekura,/Spice-Wolf-Vol-10-light-novel-Isuna-Hasekura/9780316322362?ref=grid-view,2013,Paperback,14.57,
9780316342032,"Horimiya, Vol. 1",Daisuke Hagiwara,/Horimiya-Vol-1-Daisuke-Hagiwara/9780316342032?ref=grid-view,2015,Paperback,12.09,14.0
9780316342179,Sword Art Online Progressive 2 (light novel),Reki Kawahara,/Sword-Art-Online-Progressive-2-light-novel-Reki-Kawahara/9780316342179?ref=grid-view,2015,Paperback,15.19,
9780316348836,Sword Art Online Progressive 3 (light novel),Reki Kawahara,/Sword-Art-Online-Progressive-3-light-novel-Reki-Kawahara/9780316348836?ref=grid-view,2015,Paperback,15.19,
9780316360166,"Fruits Basket Collector's Edition, Vol. 1",Natsuki Takaya,/Fruits-Basket-Collectors-Edition-Vol-1-Natsuki-Takaya/9780316360166?ref=grid-view,2016,Paperback,18.36,20.5
9780316360180,"Fruits Basket Collector's Edition, Vol. 2",Natsuki Takaya,/Fruits-Basket-Collectors-Edition-Vol-2-Natsuki-Takaya/9780316360180?ref=grid-view,2016,Paperback,18.1,19.0
9780316360647,"Fruits Basket Collector's Edition, Vol. 3",Natsuki Takaya,/Fruits-Basket-Collectors-Edition-Vol-3-Natsuki-Takaya/9780316360647?ref=grid-view,2016,Paperback,18.73,20.0
9780316360654,"Fruits Basket Collector's Edition, Vol. 4",Natsuki Takaya,/Fruits-Basket-Collectors-Edition-Vol-4-Natsuki-Takaya/9780316360654?ref=grid-view,2016,Paperback,17.42,19.0
9780316360661,"Fruits Basket Collector's Edition, Vol. 5",Natsuki Takaya,/Fruits-Basket-Collectors-Edition-Vol-5-Natsuki-Takaya/9780316360661?ref=grid-view,2016,Paperback,17.9,20.0
9780316360715,"Fruits Basket Collector's Edition, Vol. 6",Natsuki Takaya,/Fruits-Basket-Collectors-Edition-Vol-6-Natsuki-Takaya/9780316360715?ref=grid-view,2016,Paperback,18.25,19.0
9780316376815,Sword Art Online 2: Aincrad (light novel),Reki Kawahara,/Sword-Art-Online-2-Aincrad-light-novel-Reki-Kawahara/9780316376815?ref=grid-view,2014,Paperback,12.41,14.0
9780316385268,"No Game No Life, Vol. 6 (light novel)",Yuu Kamiya,/No-Game-No-Life-Vol-6-light-novel-Yuu-Kamiya/9780316385268?ref=grid-view,2017,Paperback,15.95,
9780316396011,"My Youth Romantic Comedy Is Wrong, As I Expected, Vol. 2 (light novel)",Wataru Watari,/My-Youth-Romantic-Comedy-Is-Wrong-I-Expected-Vol-2-light-novel-Wataru-Watari/9780316396011?ref=grid-view,2017,Paperback,15.18,
9780316398459,"Re:ZERO -Starting Life in Another World-, Vol. 5 (light novel)",Tappei Nagatsuki,/Re-ZERO-Starting-Life-Another-World-Vol-5-light-novel-Tappei-Nagatsuki/9780316398459?ref=grid-view,2017,Paperback,15.19,
9780316398817,"Overlord, Vol. 7 (light novel)",Kugane Maruyama,/Overlord-Vol-7-light-novel-Kugane-Maruyama/9780316398817?ref=grid-view,2018,Hardback,17.82,20.0
9780316412841,"The Case Study of Vanitas, Vol. 3",Jun Mochizuki,/Case-Study-Vanitas-Vol-3-Jun-Mochizuki/9780316412841?ref=grid-view,2017,Paperback,14.57,
9780316412889,"your name., Vol. 2",Makoto Shinkai,/your-name-Vol-2-Makoto-Shinkai/9780316412889?ref=grid-view,2017,Paperback,11.87,12.5
9780316465816,"The Mortal Instruments: The Graphic Novel, Vol. 1",Cassandra Clare,/Mortal-Instruments-Graphic-Novel-Vol-1-Cassandra-Clare/9780316465816?ref=grid-view,2017,Paperback,13.06,14.0
9780316465823,"The Mortal Instruments Graphic Novel, Vol. 2",Cassandra Clare,/Mortal-Instruments-Graphic-Novel-Vol-2-Cassandra-Clare/9780316465823?ref=grid-view,2018,Paperback,13.01,14.0
